Pandas on Bath Salts,7,6,153,120
Dope Squad,7,6,153,128
F Minus,7,6,151,150
6k retirement,7,6,148,121
Geriatric Gentlemen,7,6,146,152
Team Ignition,7,6,144,154
Team Annihilation,7,6,131,134
rethink your inks,7,6,122,96
B3WARE Esports,7,7,187,128
RFTA,7,7,175,155
Aethereal eSports,7,7,172,140
Pro by 40,7,7,169,147
HeartlessGaming,7,7,168,145
Loyal-eSports,7,7,168,176
ImNot12,7,7,166,172
Helios,7,7,164,167
Omaha Foxes-,7,7,162,149
Ginju Gaming,7,7,161,165
Must D1e,7,7,153,136
Tunnel Vision,7,7,147,132
Swang eSports,6,3,113,62
Hexteria Academy,6,5,140,90
Area controlled gaming,6,5,140,100
Vital ReBorn,6,5,117,80
AJAX esports - Amateur,6,5,115,119
Dirt 6,6,6,158,96
Ninja Wizard Squad,6,6,158,150
OminusV2 Gaming,6,6,155,141
Model 2 1337 Krew,6,6,150,102
8wire,6,6,145,122
Goof Troop,6,6,144,134
5 Beats Per Minute,6,6,144,139
the yung bucks,6,6,139,109
Goblin Squadron,6,6,138,111
Hot Bois,6,6,135,152
Highkey Lowkey,6,6,132,117
Hooded Academy NA,6,6,132,138
Rage,6,6,129,116
Yugo,6,6,129,132
Wet Peekers,6,6,128,133
faceit-is-better,6,6,124,129
Febreze,6,6,121,129
3rd Phase,6,6,121,130
Bear Trap GG,6,6,118,111
Cucks and Taters,6,7,174,144
TEAM TRASH,6,7,174,161
WeBanging,6,7,171,154
Bold and Brash,6,7,171,162
Poppin Parrots,6,7,168,148
Eminence One,6,7,167,133
Insularis,6,7,165,127
Blank,6,7,165,157
Thick Crosshairs,6,7,164,138
ObscureInfluence,6,7,164,154
Rooster,6,7,164,162
Beaver Bashers,6,7,163,168
GULF,6,7,161,161
Snow Cones,6,7,159,154
RIT D2,6,7,159,159
We eat dick,6,7,156,137
Klephtic eSports,6,7,154,158
Sp4ce Forc3,6,7,153,119
Trident Academy,6,7,152,146
Silent Casualties,6,7,151,137
Shift Comma Three,6,7,151,149
SkyC,6,7,150,159
Old Man Gaming,6,7,148,146
Vigilant,6,7,144,123
Next to Nothing eSports,6,7,144,142
Feather Pals,6,7,144,162
Nomadic Esports,6,7,143,137
Meet And Greet,6,7,142,153
FindingDory,6,7,142,159
Novelty Losers,6,7,140,129
Night Hawks eSports,6,7,140,165
Kulas Gaming,6,7,138,144
GOTTA WANT IT,6,7,137,137
5n1gers,6,7,135,155
MURDER CS,6,7,134,155
Slowest Guns in the West,6,7,133,112
Skizm Academy,6,7,131,135
Novastar Gaming,6,7,129,124
The Desired Effect,6,7,129,124
McGallons of Cum,6,7,129,168
Holy Priests,6,7,128,133
Big Brain Boys,6,7,127,138
Heist CS,6,7,126,142
Northern Chiefs,6,7,120,119
big boy bang bros,6,7,120,152
We Global Academy,6,8,175,139
Atomix Gaming,6,8,168,159
87in3,6,8,167,186
Furet Sport Electronique,6,8,162,148
Absalon Fvckboyz,6,8,155,163
CHICKS DIG ELO,6,8,149,157
rsaga,6,8,146,164
Cunning Ruse,6,8,140,152
thatHERTZ,6,8,136,166
O Fire,6,8,131,140
Bad_Beaches,6,8,121,141
Catch a Fade,6,8,110,162
CS GOATS,5,4,87,64
The Fucks,5,5,122,93
Banana Boys1,5,6,129,121
no love for thots,5,6,121,138
Infestation-eSports,5,6,118,125
Congo Cocks,5,6,107,125
VallhundGG,5,6,106,111
AnteUp,5,7,145,138
Plant Money,5,7,144,119
TROUBLE INC,5,7,144,138
GGNR,5,7,139,120
Against All Odds-,5,7,139,141
Starris Gaming,5,7,139,158
Platoon,5,7,138,119
Route 66 E-Sports,5,7,137,135
Really Bad People,5,7,137,162
Charles Hodes,5,7,136,157
Pulsar Gaming,5,7,136,160
League of Stars,5,7,131,148
virtual reality,5,7,126,139
Combo Breaker,5,7,123,131
CFS,5,7,121,144
Eco Titans,5,7,120,120
Team LenVyus,5,7,117,159
Hoist The Colors eSports,5,7,115,125
SIX2SICK,5,7,114,156
Arcane_gg,5,7,112,127
Whos ya mans,5,7,112,154
Alter,5,7,106,112
Empathy,5,7,102,145
xqzt,5,7,99,131
